SampleID,chao1,shannon,salinity
FW1,2168.891051,5.747316739,1.93
FW10,2357.25,6.232421788,0.17
FW11,2294.26045,5.995289599,1.19
FW12,2250.947137,6.285068718,1.02
FW13,2310.45509,5.292241386,1.85
FW14,2331.289474,6.314787243,2.03
FW15,2426.130435,6.300608752,2.26
FW16,2152.330909,4.704387206,2.28
FW17,2074.261745,4.762449725,2.36
FW18,2318.570946,6.234791367,2.57
FW2,2333.010909,6.025185173,2.09
FW3,2318.419355,5.933406993,2.27
FW4,2351.138996,5.951665817,2.61
FW5,2266.937037,5.833703599,2.86
FW6,2333.665635,5.700595848,1.93
FW7,2442.456835,6.361497552,0.14
FW8,2382.428571,6.370140004,0.12
FW9,2305.589552,6.140613314,0.12
RE1,2269.878125,5.644926083,5.06
RE10,2048.736156,5.096661868,12.1
RE11,1950.441406,5.013137151,14.1
RE12,2258.166113,5.36864172,1.9
RE2,2285.622951,5.655259629,6.16
RE3,2180.030405,5.623932683,10.7
RE4,2028.5,4.556084318,8.86
RE5,2311.312139,5.250906679,3.9
RE6,2287.452297,5.745215011,7.9
RE7,2222.657534,5.996913541,9.9
RE8,2282.29572,5.979846374,8.51
RE9,2312.977186,5.933917954,13.1
SW1,2198.619205,5.173256149,21.8
SW10,2265.846154,5.258754322,16.6
SW11,1983.159722,4.96709566,17.1
SW12,2228.930909,5.32686647,17.4
SW13,2287.571429,5.567957367,23.1
SW14,2220.253086,5.641971162,23.4
SW15,2243.952055,5.668591501,21.2
SW16,2033.190476,5.309752999,20.2
SW17,1932.231076,4.953550313,19.4
SW18,2124.130435,5.544996179,14.7
SW2,2277.610169,5.177558222,19.6
SW3,2147.483333,5.331229193,16.8
SW4,2297.982935,5.773255997,17.2
SW5,2310.470414,5.833157074,14.3
SW6,2288.019231,5.731609034,14
SW7,2184.898026,5.237289767,16.9
SW8,2222.56,5.308083446,16.4
SW9,2321.835366,5.247542938,14.8
