variable1,variable2,r,p,class,A
DO,Geographical_distance,0.2173387,0.021989765,dagu,0
DOC,Geographical_distance,0.277919641,0.003174782,dagu,0
NH4,Geographical_distance,-0.084721693,0.357561793,dagu,0
NO2,Geographical_distance,0.428200303,2.40E-06,dagu,0
NO3,Geographical_distance,0.525540299,3.21E-09,dagu,0
ORP,Geographical_distance,0.131978465,0.169585671,dagu,0
pH,Geographical_distance,0.482843053,7.01E-08,dagu,0
PO4,Geographical_distance,0.392752986,1.64E-05,dagu,0
Salinity,Geographical_distance,0.970604604,6.95E-74,dagu,0
DO,Geographical_distance,0.088442434,0.33676261,moshui,0
DOC,Geographical_distance,0.66918851,1.48E-16,moshui,0
NH4,Geographical_distance,0.692654685,5.67E-18,moshui,0
NO2,Geographical_distance,0.634400163,1.31E-14,moshui,0
NO3,Geographical_distance,0.737673275,3.29E-21,moshui,0
ORP,Geographical_distance,0.541372422,2.58E-10,moshui,0
pH,Geographical_distance,0.321511668,0.000440623,moshui,0
PO4,Geographical_distance,0.163399967,0.083868059,moshui,0
Salinity,Geographical_distance,0.863145062,7.34E-36,moshui,0
DO,Geographical_distance,-0.045034233,0.703417199,wulong,0
DOC,Geographical_distance,-0.108226887,0.429465117,wulong,0
NH4,Geographical_distance,-0.098126938,0.429465117,wulong,0
NO2,Geographical_distance,0.183923444,0.099760648,wulong,0
NO3,Geographical_distance,0.480277944,1.28E-07,wulong,0
ORP,Geographical_distance,0.07067667,0.569614835,wulong,0
pH,Geographical_distance,-0.027200631,0.768067412,wulong,0
PO4,Geographical_distance,-0.21079537,0.062497034,wulong,0
Salinity,Geographical_distance,0.858956679,3.83E-35,wulong,0
