Class	FW1	FW10	FW11	FW12	FW13	FW14	FW15	FW16	FW17	FW18	FW2	FW3	FW4	FW5	FW6	FW7	FW8	FW9	RE1	RE10	RE11	RE12	RE2	RE3	RE4	RE5	RE6	RE7	RE8	RE9	SW1	SW10	SW11	SW12	SW13	SW14	SW15	SW16	SW17	SW18	SW2	SW3	SW4	SW5	SW6	SW7	SW8	SW9
Gammaproteobacteria	12.1	11	26.6	13	22.6	11.6	12.8	30.8	34.1	12.1	13.1	11.3	13.2	12.8	13.9	14.1	11.7	11	16.8	22.1	24.5	26.1	17.4	19.2	56	40.4	16.1	21.7	19.7	20.6	13.3	20.2	20.6	37.5	24.6	21	20.5	28.6	34.1	25.3	13.2	14.5	20.8	18.7	18.2	18.9	17.8	35.6
Alphaproteobacteria	14.4	14.7	16	13.9	26.5	15.9	18.1	25.4	26.1	16.8	15.7	16.9	15.3	21.3	24.6	14.2	16.7	14.7	30.4	35.2	33.6	27.8	32.6	29.2	13.3	17.5	22.6	19.8	23	22.7	36.2	35	37.5	31.3	32	32.6	29.5	36.7	27	32	32.5	31.5	24.2	24.4	26.6	31.7	31.9	26.1
Betaproteobacteria	15.5	29.1	21.5	28.7	8.1	25.6	24.7	5.51	5.45	22.9	18.2	19.7	18.4	17	11.7	29.1	26.4	35.1	7.92	8.5	8.05	9.12	8.63	7.07	4.88	7.81	10.4	18.7	18.2	17.8	5.59	10.5	10.5	4.1	5.7	6.3	6.33	4.68	4.73	4.51	6.58	6.43	8.98	8.1	8.21	7.57	7.79	7.19
Flavobacteriia	5.99	9	7.85	7.92	12.2	7.75	9.91	11.2	10.8	6.87	6.66	5.67	6.04	6.35	14.6	9.86	8.16	10.4	10.7	15.6	15.9	15.3	11.3	11.7	5.93	7.97	11.2	14.5	15.9	13.5	15.9	12.7	12.1	10.2	13.4	14.9	13	8.83	11.1	16.3	16.1	15	10.5	11.9	11.5	14.8	16.3	10.5
Sphingobacteriia	6.49	7.8	4.65	5.83	2.16	5.75	5.18	1.78	1.38	5.46	7.57	6.21	6.41	5.95	3.21	5.53	5.96	4.78	5.84	1.3	1.02	1.95	3.37	4.92	1.59	2.4	3.46	3.07	2.81	2.81	2.44	1.99	1.24	2.31	2.4	2.35	3.43	2.26	1.53	2.87	2.38	2.81	4.04	4.77	5.01	2	1.81	2.05
Actinobacteria	32.7	16.5	12.6	13.9	22.1	20.6	19.2	20.6	18	23.7	24.7	27	25.4	23.7	23.9	11.9	17.5	10.9	20.2	12.6	12.5	14.3	18.5	20.7	11.9	16.9	27.4	13	12.2	12.5	19.2	14.5	13.9	10.1	15.3	15.6	20.1	14.1	17	13.3	23.2	24.1	24.2	24.5	23.1	17.9	17.2	12.5
Deltaproteobacteria	1.72	1.29	1.1	1.45	0.721	1.29	1.1	0.692	0.509	1.38	2.15	1.88	1.87	1.83	1.32	1.26	1.38	1.06	1.08	0.811	0.781	0.828	1.11	1.01	0.551	0.883	1.36	1.66	1.66	1.73	0.762	0.785	0.625	0.715	0.955	0.994	0.929	0.737	0.696	0.764	0.703	0.881	1	1.08	1.14	0.914	0.885	0.887
Cytophagia	2.5	2.87	1.9	2.41	0.629	2.08	1.5	0.503	0.399	1.98	3.28	3.12	3.01	2.58	1.02	2.2	2.5	1.97	0.733	0.409	0.24	0.479	0.678	0.789	0.452	0.682	1.24	1.19	1.08	1.05	0.62	0.522	0.201	0.407	0.791	0.941	0.649	0.528	0.329	0.662	0.52	0.666	0.857	1.1	1.13	0.536	0.549	0.526
Clostridia	1.57	1.19	0.777	1.61	1.52	1.34	1.01	1.1	0.978	1.19	1.76	1.89	1.5	1.6	1.17	1.06	1.29	1.13	2.57	1.18	1.24	1.27	2.77	1.92	0.614	0.842	1.14	0.986	1.11	0.982	1.71	1.3	1.25	0.957	1.84	2.23	1.77	1.22	1.65	1.35	1.84	1.41	1.57	1.55	1.59	2.51	2.64	1.09
Planctomycetia	2.16	0.699	0.559	0.873	0.286	1.09	0.906	0.353	0.171	1.27	1.25	1.68	2.75	1.94	0.701	0.462	1.05	0.641	0.696	0.195	0.0838	0.175	0.329	0.657	0.247	0.458	0.844	0.185	0.246	0.436	0.251	0.345	0.105	0.138	0.269	0.396	0.781	0.415	0.228	0.24	0.23	0.283	0.762	0.746	0.799	0.212	0.279	0.343
