SampleID,salinity,Date
FW1,1.93,2020/9/5
FW10,0.17,2020/9/5
FW11,1.19,2020/9/5
FW12,1.02,2020/9/5
FW13,1.85,2020/9/5
FW14,2.03,2020/9/5
FW15,2.26,2020/9/5
FW16,2.28,2020/9/5
FW17,2.36,2020/9/5
FW18,2.57,2020/9/5
FW2,2.09,2020/9/5
FW3,2.27,2020/9/5
FW4,2.61,2020/9/5
FW5,2.86,2020/9/5
FW6,1.93,2020/9/5
FW7,0.14,2020/9/5
FW8,0.12,2020/9/5
FW9,0.12,2020/9/5
RE1,5.06,2020/9/5
RE10,12.1,2020/9/5
RE11,14.1,2020/9/5
RE12,1.9,2020/9/5
RE2,6.16,2020/9/5
RE3,10.7,2020/9/5
RE4,8.86,2020/9/5
RE5,3.9,2020/9/5
RE6,7.9,2020/9/5
RE7,9.9,2020/9/5
RE8,8.51,2020/9/5
RE9,13.1,2020/9/5
SW1,21.8,2020/9/5
SW10,16.6,2020/9/5
SW11,17.1,2020/9/5
SW12,17.4,2020/9/5
SW13,23.1,2020/9/5
SW14,23.4,2020/9/5
SW15,21.2,2020/9/5
SW16,20.2,2020/9/5
SW17,19.4,2020/9/5
SW18,14.7,2020/9/5
SW2,19.6,2020/9/5
SW3,16.8,2020/9/5
SW4,17.2,2020/9/5
SW5,14.3,2020/9/5
SW6,14,2020/9/5
SW7,16.9,2020/9/5
SW8,16.4,2020/9/5
SW9,14.8,2020/9/5
