remove_node_proportion,variable,values,Salinity,Network
50,natural_connectivity,11.9088734,0.81375,n1
40,natural_connectivity,13.90539145,0.81375,n1
30,natural_connectivity,14.21882248,0.81375,n1
20,natural_connectivity,18.81454694,0.81375,n1
10,natural_connectivity,19.70123085,0.81375,n1
50,average_degree,4.205533597,0.81375,n1
40,average_degree,4.792079208,0.81375,n1
30,average_degree,5.384180791,0.81375,n1
20,average_degree,6.668316832,0.81375,n1
10,average_degree,6.98021978,0.81375,n1
50,natural_connectivity,4.779537917,2.14375,n2
40,natural_connectivity,9.018416087,2.14375,n2
30,natural_connectivity,10.93151367,2.14375,n2
20,natural_connectivity,14.01322158,2.14375,n2
10,natural_connectivity,14.98214218,2.14375,n2
50,average_degree,3.133928571,2.14375,n2
40,average_degree,5.048327138,2.14375,n2
30,average_degree,5.392971246,2.14375,n2
20,average_degree,6.134078212,2.14375,n2
10,average_degree,6.709677419,2.14375,n2
50,natural_connectivity,6.29378034,4.94625,n3
40,natural_connectivity,9.296710611,4.94625,n3
30,natural_connectivity,13.91547951,4.94625,n3
20,natural_connectivity,15.74666286,4.94625,n3
10,natural_connectivity,16.87356571,4.94625,n3
50,average_degree,4.455284553,4.94625,n3
40,average_degree,5.209459459,4.94625,n3
30,average_degree,6.823188406,4.94625,n3
20,average_degree,7.38071066,4.94625,n3
10,average_degree,8.126410835,4.94625,n3
50,natural_connectivity,5.016017555,12.1325,n4
40,natural_connectivity,8.41622175,12.1325,n4
30,natural_connectivity,4.517851787,12.1325,n4
20,natural_connectivity,8.473085168,12.1325,n4
10,natural_connectivity,10.85298063,12.1325,n4
50,average_degree,2.601156069,12.1325,n4
40,average_degree,3.304347826,12.1325,n4
30,average_degree,3.041322314,12.1325,n4
20,average_degree,3.724637681,12.1325,n4
10,average_degree,4.321543408,12.1325,n4
50,natural_connectivity,0.652826683,16.3125,n5
40,natural_connectivity,0.701184108,16.3125,n5
30,natural_connectivity,1.135336703,16.3125,n5
20,natural_connectivity,1.013986394,16.3125,n5
10,natural_connectivity,1.264754425,16.3125,n5
50,average_degree,1.056338028,16.3125,n5
40,average_degree,1.176470588,16.3125,n5
30,average_degree,1.51758794,16.3125,n5
20,average_degree,1.629955947,16.3125,n5
10,average_degree,1.882352941,16.3125,n5
50,natural_connectivity,0.457869577,20.7625,n6
40,natural_connectivity,0.473720856,20.7625,n6
30,natural_connectivity,0.798332679,20.7625,n6
20,natural_connectivity,0.803127359,20.7625,n6
10,natural_connectivity,0.827837674,20.7625,n6
50,average_degree,0.868852459,20.7625,n6
40,average_degree,0.849315068,20.7625,n6
30,average_degree,1.251461988,20.7625,n6
20,average_degree,1.333333333,20.7625,n6
10,average_degree,1.452054795,20.7625,n6
