niche_breadth,type
31.79024424,abundant
27.43956929,abundant
29.30947566,abundant
8.331937406,abundant
38.11357039,abundant
34.72125872,abundant
35.09466295,abundant
15.44038675,abundant
16.26475991,abundant
32.61780031,abundant
34.03440754,abundant
36.99702437,abundant
36.37969905,abundant
36.94857456,abundant
33.10091082,abundant
31.54834412,abundant
28.7690837,abundant
25.29722006,abundant
23.46547456,abundant
35.60167434,abundant
3.22671155,abundant
27.02640563,abundant
35.81790251,abundant
6.076482005,abundant
35.21300562,abundant
20.61917679,abundant
35.53165613,abundant
3.011425445,abundant
12.08344495,abundant
29.98462335,abundant
33.41279879,abundant
32.06233415,abundant
30.6296917,abundant
32.30362993,abundant
16.237461,abundant
26.07968187,abundant
23.75185401,abundant
31.47665071,abundant
20.88284611,abundant
37.44594145,abundant
35.20229756,abundant
19.26699419,abundant
27.49487112,abundant
39.9399338,abundant
34.06470018,abundant
39.99156306,abundant
36.75640082,abundant
22.00474791,abundant
9.96701997,abundant
13.38787641,abundant
24.99074221,abundant
33.2935356,abundant
24.35817849,abundant
26.28112114,abundant
18.20904838,abundant
18.39001236,abundant
5.055459047,abundant
32.24211263,abundant
36.87878968,abundant
36.00859791,abundant
22.44560714,abundant
4.40588626,abundant
40.15338674,abundant
33.97744803,abundant
33.48352392,abundant
21.53409456,abundant
19.31562972,abundant
29.90330212,abundant
37.12000743,abundant
3.08620166,abundant
18.29013534,abundant
13.29653209,abundant
31.42037648,abundant
12.63001695,abundant
22.00494324,abundant
36.77070993,abundant
32.26395952,abundant
32.69314475,abundant
33.76508219,abundant
27.05424481,abundant
30.01119567,abundant
21.4509512,abundant
17.51999333,abundant
30.34749992,abundant
32.30704398,abundant
27.53288736,abundant
39.03776538,abundant
17.12609262,abundant
22.85707578,abundant
5.876949901,abundant
6.471024911,abundant
35.07538491,abundant
12.1768469,abundant
14.70624584,abundant
19.59995232,abundant
22.40602862,abundant
18.03120531,abundant
10.9334248,abundant
35.94894046,abundant
30.28844185,abundant
18.61276607,abundant
31.13009404,abundant
23.2040382,abundant
37.90003582,abundant
15.95469561,abundant
17.43040073,abundant
22.21606411,abundant
25.15616068,abundant
38.42917838,abundant
40.89231853,abundant
28.63498361,abundant
31.15225971,abundant
30.73201093,abundant
3.324335573,abundant
31.58108749,abundant
23.08048611,abundant
34.0255268,abundant
16.02788936,abundant
26.61205865,abundant
38.23180538,abundant
28.33216456,abundant
18.26541945,abundant
22.03619514,abundant
17.00295783,abundant
20.87697197,abundant
19.03326909,abundant
14.68876104,abundant
35.11420141,abundant
17.90208061,abundant
29.95284049,abundant
23.7348578,abundant
29.37712644,abundant
23.80687882,abundant
40.41827058,abundant
37.66115427,abundant
12.91857049,abundant
32.31379658,abundant
5.614982133,abundant
30.89011269,abundant
14.52924531,abundant
8.690971798,abundant
23.18002251,abundant
27.18873583,abundant
