#OTUID,FW1,FW10,FW11,FW12,FW13,FW14,FW15,FW16,FW17,FW18,FW2,FW3,FW4,FW5,FW6,FW7,FW8,FW9,RE1,RE10,RE11,RE12,RE2,RE3,RE4,RE5,RE6,RE7,RE8,RE9,SW1,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9
ASV_1442,3,16,6,9,5,10,6,3,2,4,6,3,9,3,4,14,9,9,5,7,8,5,5,3,2,9,10,6,8,5,0,7,2,1,5,2,0,4,3,1,0,5,5,10,4,1,1,1
ASV_1078,0,6,7,17,3,6,10,2,0,14,5,2,2,7,2,26,19,35,0,3,3,4,3,1,1,4,0,6,7,9,7,1,0,0,1,7,2,4,0,3,5,2,1,6,1,0,1,1
ASV_1045,0,0,1,0,3,0,0,3,2,0,0,4,1,0,0,5,2,0,4,2,0,2,2,4,0,0,0,4,6,1,14,2,1,3,23,50,13,9,8,53,1,2,0,0,0,6,9,5
ASV_1024,24,6,4,1,2,10,9,4,1,27,22,31,13,23,12,2,2,0,1,0,0,1,0,0,1,0,4,5,8,0,0,6,0,0,4,4,2,3,0,1,0,0,1,2,2,2,3,2
ASV_1003,6,6,1,7,3,9,5,9,1,19,8,16,8,4,17,3,10,5,5,2,0,0,0,1,3,16,12,1,6,6,0,3,6,1,4,5,5,1,3,2,1,2,5,4,2,5,4,3
ASV_1569,0,4,4,23,2,19,12,0,0,17,1,4,5,4,4,28,16,35,0,0,0,4,1,0,0,11,10,6,4,5,3,0,0,0,1,2,1,0,2,2,0,3,1,0,4,0,1,5
ASV_1106,37,1,6,7,7,13,1,4,2,12,13,21,18,22,7,0,7,8,5,2,0,2,1,4,1,8,9,0,0,0,1,1,2,0,0,1,1,0,2,0,3,4,6,1,0,1,0,3
ASV_1220,0,4,1,0,2,3,9,1,1,1,0,1,1,1,3,0,3,2,14,0,4,4,15,11,2,2,0,1,0,1,1,2,0,21,11,8,16,9,11,7,5,6,18,17,17,1,2,4
ASV_1014,4,14,17,21,1,21,17,0,0,17,5,4,7,1,3,24,14,24,0,0,1,4,5,1,0,4,2,5,5,4,3,0,1,1,0,1,0,0,0,0,3,0,2,0,3,1,1,2
ASV_1080,28,10,7,6,5,6,6,3,1,9,17,17,22,17,5,3,14,3,1,0,0,1,0,2,2,6,10,5,3,8,0,3,0,0,3,2,0,3,0,0,2,0,3,2,2,1,2,3
ASV_950,8,7,0,13,9,6,5,2,0,17,7,3,9,16,17,7,13,2,4,3,2,2,2,2,4,7,44,3,0,3,2,4,4,2,1,0,1,2,1,0,0,0,0,1,1,3,1,2
ASV_1295,2,11,4,0,2,11,3,2,1,8,1,7,7,1,2,4,7,4,18,0,1,5,5,9,2,3,2,0,5,2,7,1,4,7,5,5,7,6,9,5,3,3,13,18,13,0,5,2
ASV_1023,2,3,1,4,1,5,2,3,2,1,1,4,8,1,6,3,2,6,7,2,2,6,4,8,2,6,7,10,9,25,1,18,7,4,6,9,10,3,4,3,4,2,1,6,4,5,4,8
ASV_1000,12,5,9,5,2,9,4,5,0,8,5,6,9,10,13,5,10,4,7,2,3,1,0,1,3,3,3,1,1,2,3,1,4,1,5,4,7,3,5,7,1,6,16,7,19,2,2,1
ASV_1336,3,1,0,0,3,2,1,4,3,1,1,3,2,3,4,3,1,2,15,5,4,7,16,12,2,2,1,5,7,6,6,1,7,4,7,13,17,9,4,12,12,3,3,7,6,5,2,5
ASV_1454,1,16,7,25,0,14,15,0,1,5,6,8,5,1,2,29,21,23,1,1,0,4,0,1,0,1,0,9,13,10,2,0,0,2,1,4,0,1,1,2,1,0,1,4,0,2,2,0
ASV_956,13,8,2,6,6,13,10,0,4,23,10,12,17,9,13,8,8,6,3,1,4,2,2,1,4,9,6,2,5,4,3,1,6,0,2,1,0,2,1,1,0,2,3,0,1,0,3,4
ASV_962,8,8,4,4,6,9,7,1,1,13,3,3,19,8,5,6,4,7,7,0,0,3,5,12,0,4,7,0,1,1,0,1,0,1,2,0,7,10,0,0,4,5,20,14,11,2,4,4
ASV_1067,2,3,39,3,4,0,0,6,9,2,2,1,13,2,1,3,3,4,1,5,4,5,1,3,6,0,2,16,13,13,0,5,2,4,6,1,6,0,1,2,9,0,6,0,2,4,1,25
ASV_1022,0,0,0,3,4,6,4,4,9,1,4,1,1,0,1,5,3,1,9,1,3,4,13,11,8,5,1,3,1,2,3,2,2,7,17,22,15,10,10,8,5,7,2,2,7,2,6,5
ASV_1025,8,0,2,4,3,3,5,3,0,2,8,7,8,7,10,6,0,3,2,5,4,5,1,2,5,14,13,19,24,15,0,6,5,1,7,1,4,5,6,0,1,0,2,2,1,5,2,4
ASV_1066,8,16,10,15,0,8,6,0,0,3,10,11,16,13,1,14,15,12,0,1,1,1,2,4,0,6,5,7,12,7,0,0,0,0,3,2,0,5,0,0,0,3,7,2,4,3,5,2
ASV_1429,3,8,8,3,1,4,2,0,4,1,9,12,4,2,5,2,1,1,4,5,7,7,5,2,0,1,1,26,24,44,0,4,2,2,2,4,12,1,1,0,0,4,4,0,0,0,4,3
ASV_1605,3,6,10,20,2,27,10,0,2,9,3,3,1,0,3,28,15,52,0,0,0,2,1,0,2,2,0,8,7,4,2,0,0,3,0,0,0,0,0,4,6,1,0,0,0,0,1,2
ASV_1042,12,11,4,15,5,7,4,2,1,7,15,23,15,12,3,8,6,9,0,0,5,5,2,1,2,1,5,14,7,6,2,0,0,2,1,1,2,2,0,0,0,4,4,4,3,0,5,2
ASV_999,10,1,3,7,9,12,12,10,9,22,6,16,7,7,6,8,13,2,1,1,0,1,5,1,6,4,9,2,5,0,8,1,0,2,1,4,1,0,2,0,3,3,3,5,4,1,2,3
ASV_1229,2,5,32,10,6,15,5,2,3,7,3,4,4,2,10,22,10,8,5,3,3,5,2,1,3,1,2,6,13,5,0,0,0,1,3,3,1,2,0,13,3,2,7,1,1,0,1,1
ASV_993,6,6,1,4,11,2,2,3,5,0,0,0,2,5,6,5,4,5,3,4,5,7,8,6,4,3,2,6,5,2,21,3,4,4,7,0,6,5,5,3,23,10,12,2,6,2,1,2
ASV_1123,0,3,15,7,4,3,2,2,10,5,0,2,1,1,1,5,3,6,5,0,0,6,0,10,41,28,3,0,6,1,1,3,4,2,0,2,2,0,5,2,0,1,25,0,0,11,6,3
ASV_1368,4,6,3,1,5,4,2,4,4,2,4,2,15,2,1,9,9,3,5,7,10,7,1,4,3,6,3,14,8,14,1,3,3,2,9,2,8,2,6,2,4,3,4,2,4,2,9,9
ASV_995,4,4,2,1,2,3,6,1,1,3,1,7,0,5,1,5,0,1,26,0,2,1,18,17,3,3,3,2,2,2,2,5,0,8,4,10,6,5,2,4,7,7,14,8,21,1,5,2
ASV_1110,0,13,8,14,5,14,20,0,0,17,1,5,3,3,7,22,17,35,3,1,0,3,4,1,1,2,0,4,2,3,7,0,1,2,0,0,1,0,1,2,10,0,1,3,1,0,0,0
ASV_1432,10,15,9,10,4,8,2,1,0,9,7,13,6,6,15,3,14,9,3,5,3,6,1,3,1,7,6,6,10,3,2,4,3,1,2,4,0,1,0,0,1,2,3,5,0,4,4,6
ASV_976,22,7,3,3,2,12,4,14,0,4,12,13,18,9,10,10,5,8,1,0,0,0,0,1,0,2,15,7,1,5,0,6,0,0,6,11,2,1,1,0,1,0,3,1,3,4,7,3
ASV_1037,2,9,19,24,2,6,1,0,0,3,2,4,0,0,0,10,13,10,0,0,7,2,0,0,0,0,0,34,49,34,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0
ASV_1187,2,3,4,5,4,0,8,5,5,5,3,2,7,3,12,2,8,6,8,3,5,4,8,3,1,7,11,5,1,3,4,5,12,5,6,2,4,2,2,8,5,9,6,4,12,3,1,3
ASV_971,3,4,2,2,2,1,6,1,4,4,7,6,3,1,7,5,3,4,3,2,9,8,6,4,9,2,5,9,16,17,0,1,3,10,7,3,3,4,3,3,7,5,1,6,7,7,7,4
ASV_1197,0,5,3,1,3,3,2,4,1,0,2,2,5,3,0,1,3,1,5,5,12,7,10,8,3,4,4,11,9,11,7,1,5,5,16,5,15,8,7,5,3,7,6,2,6,5,4,1
ASV_1053,1,0,0,1,4,3,4,5,6,0,8,4,0,7,4,0,2,5,10,5,4,12,1,3,1,4,4,4,7,1,25,2,0,3,8,7,8,5,5,15,4,3,1,0,2,20,8,9
ASV_1073,0,1,2,0,2,0,0,5,0,0,0,3,4,2,1,1,0,2,5,14,18,18,2,5,2,2,7,12,9,4,1,21,21,10,0,2,2,5,4,1,5,6,6,5,3,3,11,8
ASV_1127,0,8,2,4,6,6,9,3,8,4,1,1,1,0,0,3,5,0,12,5,2,0,7,11,5,2,1,0,1,3,1,0,7,12,4,1,5,3,9,9,4,6,13,22,23,1,2,3
