ID,type,node.degree,relative.degree,Network,Salinity
ASV_1,abundant,28,3.058772121,n3,4.94625
ASV_100,abundant,3,0.327725584,n3,4.94625
ASV_102,abundant,16,1.747869784,n3,4.94625
ASV_103,abundant,2,0.218483723,n3,4.94625
ASV_104,abundant,42,4.588158182,n3,4.94625
ASV_106,abundant,23,2.512562814,n3,4.94625
ASV_108,abundant,13,1.420144199,n3,4.94625
ASV_109,abundant,17,1.857111645,n3,4.94625
ASV_11,abundant,28,3.058772121,n3,4.94625
ASV_110,abundant,5,0.546209307,n3,4.94625
ASV_111,abundant,3,0.327725584,n3,4.94625
ASV_114,abundant,22,2.403320953,n3,4.94625
ASV_116,abundant,7,0.76469303,n3,4.94625
ASV_119,abundant,12,1.310902338,n3,4.94625
ASV_12,abundant,9,0.983176753,n3,4.94625
ASV_121,abundant,1,0.109241861,n3,4.94625
ASV_123,abundant,30,3.277255844,n3,4.94625
ASV_124,abundant,13,1.420144199,n3,4.94625
ASV_125,abundant,20,2.18483723,n3,4.94625
ASV_126,abundant,2,0.218483723,n3,4.94625
ASV_127,abundant,26,2.840288399,n3,4.94625
ASV_128,abundant,38,4.151190736,n3,4.94625
ASV_129,abundant,11,1.201660476,n3,4.94625
ASV_13,abundant,34,3.71422329,n3,4.94625
ASV_130,abundant,4,0.436967446,n3,4.94625
ASV_133,abundant,21,2.294079091,n3,4.94625
ASV_134,abundant,2,0.218483723,n3,4.94625
ASV_135,abundant,10,1.092418615,n3,4.94625
ASV_136,abundant,25,2.731046537,n3,4.94625
ASV_137,abundant,24,2.621804676,n3,4.94625
ASV_14,abundant,17,1.857111645,n3,4.94625
ASV_140,abundant,33,3.604981429,n3,4.94625
ASV_142,abundant,19,2.075595368,n3,4.94625
ASV_144,abundant,2,0.218483723,n3,4.94625
ASV_145,abundant,12,1.310902338,n3,4.94625
ASV_146,abundant,34,3.71422329,n3,4.94625
ASV_147,abundant,11,1.201660476,n3,4.94625
ASV_148,abundant,7,0.76469303,n3,4.94625
ASV_15,abundant,12,1.310902338,n3,4.94625
ASV_151,abundant,33,3.604981429,n3,4.94625
ASV_152,abundant,19,2.075595368,n3,4.94625
ASV_154,abundant,7,0.76469303,n3,4.94625
ASV_155,abundant,20,2.18483723,n3,4.94625
ASV_156,abundant,1,0.109241861,n3,4.94625
ASV_157,abundant,1,0.109241861,n3,4.94625
ASV_159,abundant,2,0.218483723,n3,4.94625
ASV_162,abundant,8,0.873934892,n3,4.94625
ASV_163,abundant,4,0.436967446,n3,4.94625
ASV_164,abundant,5,0.546209307,n3,4.94625
ASV_165,abundant,9,0.983176753,n3,4.94625
ASV_166,abundant,6,0.655451169,n3,4.94625
ASV_168,abundant,1,0.109241861,n3,4.94625
ASV_170,abundant,14,1.529386061,n3,4.94625
ASV_173,abundant,1,0.109241861,n3,4.94625
ASV_176,abundant,15,1.638627922,n3,4.94625
ASV_177,abundant,22,2.403320953,n3,4.94625
ASV_178,abundant,5,0.546209307,n3,4.94625
