,Difference,Network,Salinity
1,5.859872611,n1,0.81375
2,5.859872611,n1,0.81375
3,5.732484076,n1,0.81375
4,5.350318471,n1,0.81375
5,5.859872611,n1,0.81375
6,5.859872611,n1,0.81375
7,5.859872611,n1,0.81375
8,5.477707006,n1,0.81375
9,5.859872611,n1,0.81375
10,5.350318471,n1,0.81375
11,5.859872611,n1,0.81375
12,5.859872611,n1,0.81375
13,5.859872611,n1,0.81375
14,5.859872611,n1,0.81375
15,5.859872611,n1,0.81375
16,4.713375796,n1,0.81375
17,5.477707006,n1,0.81375
18,5.859872611,n1,0.81375
19,5.732484076,n1,0.81375
20,5.477707006,n1,0.81375
21,5.350318471,n1,0.81375
22,5.859872611,n1,0.81375
23,5.605095541,n1,0.81375
24,5.859872611,n1,0.81375
25,5.859872611,n1,0.81375
26,5.859872611,n1,0.81375
27,5.732484076,n1,0.81375
28,5.859872611,n1,0.81375
29,5.732484076,n1,0.81375
30,5.732484076,n1,0.81375
31,5.859872611,n1,0.81375
32,5.605095541,n1,0.81375
33,5.859872611,n1,0.81375
34,5.350318471,n1,0.81375
35,5.732484076,n1,0.81375
36,5.732484076,n1,0.81375
37,5.605095541,n1,0.81375
38,5.859872611,n1,0.81375
39,5.732484076,n1,0.81375
40,5.859872611,n1,0.81375
41,4.968152866,n1,0.81375
42,5.732484076,n1,0.81375
43,5.859872611,n1,0.81375
44,5.477707006,n1,0.81375
45,5.859872611,n1,0.81375
46,5.859872611,n1,0.81375
47,5.605095541,n1,0.81375
48,5.222929936,n1,0.81375
49,5.477707006,n1,0.81375
50,5.732484076,n1,0.81375
51,5.477707006,n1,0.81375
52,5.732484076,n1,0.81375
53,5.859872611,n1,0.81375
54,5.859872611,n1,0.81375
55,5.859872611,n1,0.81375
56,5.732484076,n1,0.81375
57,5.605095541,n1,0.81375
58,5.350318471,n1,0.81375
59,5.732484076,n1,0.81375
60,2.03821656,n1,0.81375
61,2.675159235,n1,0.81375
62,5.859872611,n1,0.81375
63,5.605095541,n1,0.81375
64,5.605095541,n1,0.81375
65,5.859872611,n1,0.81375
66,5.732484076,n1,0.81375
67,5.859872611,n1,0.81375
68,4.968152866,n1,0.81375
69,5.732484076,n1,0.81375
70,5.605095541,n1,0.81375
71,5.477707006,n1,0.81375
72,5.732484076,n1,0.81375
73,5.732484076,n1,0.81375
74,5.859872611,n1,0.81375
75,5.732484076,n1,0.81375
76,5.859872611,n1,0.81375
77,5.859872611,n1,0.81375
78,5.859872611,n1,0.81375
79,5.859872611,n1,0.81375
80,5.222929936,n1,0.81375
81,5.859872611,n1,0.81375
82,5.859872611,n1,0.81375
83,5.732484076,n1,0.81375
84,4.840764331,n1,0.81375
85,5.477707006,n1,0.81375
86,5.859872611,n1,0.81375
87,5.859872611,n1,0.81375
88,5.859872611,n1,0.81375
89,5.859872611,n1,0.81375
90,5.732484076,n1,0.81375
91,3.312101911,n1,0.81375
92,3.312101911,n1,0.81375
93,3.184713376,n1,0.81375
94,2.802547771,n1,0.81375
95,3.312101911,n1,0.81375
96,3.312101911,n1,0.81375
97,3.312101911,n1,0.81375
98,2.929936306,n1,0.81375
99,3.312101911,n1,0.81375
100,2.802547771,n1,0.81375
101,3.312101911,n1,0.81375
102,3.312101911,n1,0.81375
103,3.312101911,n1,0.81375
104,3.312101911,n1,0.81375
105,3.312101911,n1,0.81375
106,2.165605096,n1,0.81375
107,2.929936306,n1,0.81375
108,3.312101911,n1,0.81375
109,3.184713376,n1,0.81375
110,2.929936306,n1,0.81375
111,2.802547771,n1,0.81375
112,3.312101911,n1,0.81375
113,3.057324841,n1,0.81375
114,3.312101911,n1,0.81375
115,3.312101911,n1,0.81375
116,3.312101911,n1,0.81375
117,3.184713376,n1,0.81375
118,3.312101911,n1,0.81375
119,3.184713376,n1,0.81375
120,3.184713376,n1,0.81375
121,3.312101911,n1,0.81375
122,3.057324841,n1,0.81375
123,3.312101911,n1,0.81375
124,2.802547771,n1,0.81375
125,3.184713376,n1,0.81375
126,3.184713376,n1,0.81375
127,3.057324841,n1,0.81375
128,3.312101911,n1,0.81375
129,3.184713376,n1,0.81375
130,3.312101911,n1,0.81375
131,2.420382166,n1,0.81375
132,3.184713376,n1,0.81375
133,3.312101911,n1,0.81375
134,2.929936306,n1,0.81375
135,3.312101911,n1,0.81375
136,3.312101911,n1,0.81375
137,3.057324841,n1,0.81375
138,2.675159236,n1,0.81375
139,2.929936306,n1,0.81375
140,3.184713376,n1,0.81375
141,2.929936306,n1,0.81375
142,3.184713376,n1,0.81375
143,3.312101911,n1,0.81375
144,3.312101911,n1,0.81375
145,3.312101911,n1,0.81375
146,3.184713376,n1,0.81375
147,3.057324841,n1,0.81375
148,2.802547771,n1,0.81375
149,3.184713376,n1,0.81375
150,-0.50955414,n1,0.81375
151,0.127388535,n1,0.81375
152,3.312101911,n1,0.81375
153,3.057324841,n1,0.81375
154,3.057324841,n1,0.81375
155,3.312101911,n1,0.81375
156,3.184713376,n1,0.81375
157,3.312101911,n1,0.81375
158,2.420382166,n1,0.81375
159,3.184713376,n1,0.81375
160,3.057324841,n1,0.81375
161,2.929936306,n1,0.81375
162,3.184713376,n1,0.81375
163,3.184713376,n1,0.81375
164,3.312101911,n1,0.81375
165,3.184713376,n1,0.81375
166,3.312101911,n1,0.81375
167,3.312101911,n1,0.81375
168,3.312101911,n1,0.81375
169,3.312101911,n1,0.81375
170,2.675159236,n1,0.81375
171,3.312101911,n1,0.81375
172,3.312101911,n1,0.81375
173,3.184713376,n1,0.81375
174,2.292993631,n1,0.81375
175,2.929936306,n1,0.81375
176,3.312101911,n1,0.81375
177,3.312101911,n1,0.81375
178,3.312101911,n1,0.81375
179,3.312101911,n1,0.81375
180,3.184713376,n1,0.81375
181,0.382165605,n1,0.81375
182,0.382165605,n1,0.81375
183,0.25477707,n1,0.81375
184,-0.127388535,n1,0.81375
185,0.382165605,n1,0.81375
186,0.382165605,n1,0.81375
187,0.382165605,n1,0.81375
188,0,n1,0.81375
189,0.382165605,n1,0.81375
190,-0.127388535,n1,0.81375
191,0.382165605,n1,0.81375
192,0.382165605,n1,0.81375
193,0.382165605,n1,0.81375
194,0.382165605,n1,0.81375
195,0.382165605,n1,0.81375
196,-0.76433121,n1,0.81375
197,0,n1,0.81375
198,0.382165605,n1,0.81375
199,0.25477707,n1,0.81375
200,0,n1,0.81375
201,-0.127388535,n1,0.81375
202,0.382165605,n1,0.81375
203,0.127388535,n1,0.81375
204,0.382165605,n1,0.81375
205,0.382165605,n1,0.81375
